,data
532636,1036.0
532637,1047.0
532763,1005.0
532764,1073.0
532765,1064.0
532766,954.0
532892,1029.0
548890,1012.0
548891,1006.0
548892,1037.0
548893,1037.0
548894,1017.0
549017,1028.0
549018,1014.0
549019,824.0
549020,233.0
549021,102.0
549022,500.0
549144,984.0
549145,1055.0
549146,1016.0
549147,1006.0
549148,1018.0
549149,1038.0
549150,1035.0
549273,1020.0
549274,1022.0
549275,1073.0
549276,771.0
549277,777.0
549278,1051.0
549403,1053.0
549404,1046.0
565147,981.0
565148,1040.0
565149,1055.0
565272,1031.0
565273,1033.0
565274,993.0
565275,860.0
565276,542.0
565277,468.0
565278,253.0
565279,46.0
565398,987.0
565399,996.0
565400,1007.0
565401,1028.0
565402,731.0
565403,279.0
565404,118.0
565405,46.0
565406,28.0
565407,36.0
565526,1029.0
565527,1016.0
565528,1010.0
565529,1034.0
565530,1051.0
565531,1023.0
565532,987.0
565533,942.0
565534,992.0
565535,1018.0
565655,1028.0
565656,1019.0
565657,1037.0
565658,530.0
565659,82.0
565660,54.0
565661,52.0
565662,70.0
565663,233.0
565785,1029.0
565786,1032.0
565787,1026.0
565788,1001.0
565789,990.0
565790,747.0
581405,1043.0
581529,935.0
581530,1027.0
581531,1033.0
581532,1051.0
581533,991.0
581534,622.0
581535,151.0
581654,1008.0
581655,1020.0
581656,1032.0
581657,1045.0
581658,685.0
581659,333.0
581660,210.0
581661,76.0
581662,47.0
581663,18.0
581689,975.0
581781,1027.0
581782,1005.0
581783,737.0
581784,392.0
581785,447.0
581786,822.0
581787,1025.0
581788,1070.0
581789,1049.0
581790,1018.0
581791,1017.0
581816,646.0
581817,837.0
581818,956.0
581909,1044.0
581910,1051.0
581911,1066.0
581912,1007.0
581913,967.0
581914,1009.0
581915,1036.0
581916,1046.0
581917,1027.0
581918,997.0
581919,1021.0
581944,606.0
581945,700.0
581946,841.0
582038,1004.0
582039,1015.0
582040,1031.0
582041,1052.0
582042,539.0
582043,62.0
582044,62.0
582045,53.0
582046,57.0
582047,39.0
582072,328.0
582073,478.0
582074,775.0
582168,991.0
582169,1038.0
582170,1022.0
582171,1014.0
582172,967.0
582173,425.0
582174,58.0
582175,24.0
582300,1017.0
582302,571.0
595711,962.0
595838,806.0
595839,964.0
595966,888.0
595967,958.0
596094,913.0
596095,954.0
596222,870.0
596223,948.0
596351,939.0
596479,1005.0
596607,910.0
597788,1013.0
597789,1025.0
597790,1015.0
597791,965.0
597817,917.0
597818,982.0
597911,948.0
597912,1019.0
597913,1029.0
597914,1040.0
597915,1041.0
597916,1030.0
597917,543.0
597918,82.0
597919,53.0
597926,953.0
597927,994.0
597928,961.0
597943,935.0
597944,1077.0
597945,1085.0
597946,1068.0
597947,1035.0
598036,990.0
598037,943.0
598038,919.0
598039,997.0
598040,1033.0
598041,1057.0
598042,686.0
598043,193.0
598044,112.0
598045,58.0
598046,157.0
598047,819.0
598048,1048.0
598049,959.0
598051,1054.0
598052,1082.0
598053,1078.0
598054,1062.0
598055,1035.0
598056,1030.0
598057,1049.0
598058,1060.0
598070,1019.0
598071,1048.0
598072,1033.0
598073,1045.0
598074,1063.0
598075,1070.0
598076,1044.0
598163,1010.0
598164,1028.0
598165,904.0
598166,479.0
598167,392.0
598168,630.0
598169,970.0
598170,1068.0
598171,1059.0
598172,1059.0
598173,1059.0
598174,1041.0
598175,1042.0
598176,1046.0
598177,1049.0
598178,1068.0
598179,1076.0
598180,1073.0
598181,1065.0
598182,1055.0
598183,1038.0
598184,1027.0
598185,1053.0
598186,1040.0
598197,986.0
598198,1028.0
598199,998.0
598200,1004.0
598201,1025.0
598202,1035.0
598203,1059.0
598204,1041.0
598205,966.0
598291,1010.0
598292,1054.0
598293,776.0
598294,371.0
598295,634.0
598296,938.0
598297,1066.0
598298,1091.0
598299,1088.0
598300,1082.0
598301,1083.0
598302,1068.0
598303,1051.0
598304,1052.0
598305,1046.0
598306,1047.0
598307,1088.0
598308,1083.0
598309,1066.0
598310,1064.0
598311,1048.0
598312,1040.0
598313,1051.0
598314,1042.0
598324,754.0
598325,1034.0
598326,1016.0
598327,989.0
598328,983.0
598329,996.0
598330,1021.0
598331,1041.0
598332,1064.0
598333,1011.0
598420,875.0
598421,1017.0
598422,1013.0
598423,1027.0
598424,1036.0
598425,1041.0
598426,542.0
598427,101.0
598428,76.0
598429,56.0
598430,53.0
598431,351.0
598435,978.0
598436,1085.0
598437,1077.0
598438,1049.0
598439,1049.0
598440,1055.0
598441,1087.0
598442,973.0
598452,745.0
598453,1033.0
598454,1023.0
598455,1005.0
598456,1007.0
598457,1006.0
598458,1013.0
598459,1055.0
598460,1070.0
598461,1002.0
598551,935.0
598552,1020.0
598553,1038.0
598554,1035.0
598555,1036.0
598556,925.0
598557,243.0
598558,52.0
598559,25.0
598566,970.0
598567,1013.0
598568,934.0
598581,1008.0
598582,1028.0
598583,1026.0
598584,1012.0
598585,1020.0
598586,1041.0
598587,1059.0
598588,1017.0
598589,882.0
598683,937.0
598684,1038.0
598685,1021.0
598686,777.0
598687,128.0
598710,993.0
598711,1052.0
598712,1060.0
598713,1063.0
598714,1044.0
598715,931.0
598716,974.0
598840,866.0
598841,912.0
598842,915.0
611583,970.0
611710,969.0
611711,907.0
611837,1008.0
611838,926.0
611839,879.0
611964,968.0
611965,926.0
611966,904.0
611967,897.0
612091,801.0
612092,939.0
612093,918.0
612094,886.0
612095,885.0
612219,930.0
612220,917.0
612221,880.0
612222,868.0
612223,865.0
612347,945.0
612348,900.0
612349,883.0
612350,874.0
612351,858.0
612475,946.0
612476,923.0
612477,911.0
612478,877.0
612479,877.0
612603,951.0
612604,911.0
612605,886.0
612606,877.0
612607,864.0
612731,947.0
612732,931.0
612733,883.0
612734,883.0
612735,866.0
612859,845.0
612860,949.0
612861,899.0
612862,880.0
612863,888.0
612988,988.0
612989,962.0
612990,886.0
612991,880.0
613116,865.0
613117,991.0
613118,933.0
613119,884.0
613245,879.0
613246,958.0
613247,898.0
613374,889.0
613375,961.0
613503,901.0
614045,964.0
614046,1021.0
614047,1025.0
614071,630.0
614072,958.0
614073,1039.0
614074,1059.0
614075,1026.0
614171,1005.0
614172,1022.0
614173,1009.0
614174,1033.0
614175,1070.0
614181,1075.0
614182,1065.0
614183,1053.0
614184,1058.0
614185,1038.0
614186,1140.0
614198,1021.0
614199,1062.0
614200,1037.0
614201,1045.0
614202,1042.0
614203,1066.0
614204,1033.0
614205,973.0
614294,1010.0
614295,1014.0
614296,1039.0
614297,1011.0
614298,1003.0
614299,1006.0
614300,947.0
614301,337.0
614302,53.0
614303,85.0
614304,655.0
614305,1064.0
614306,1038.0
614307,1066.0
614308,1031.0
614309,1034.0
614310,1022.0
614311,1014.0
614312,1027.0
614313,1050.0
614314,963.0
614315,676.0
614318,1110.0
614321,1141.0
614322,1148.0
614323,1075.0
614324,1065.0
614325,1065.0
614326,1028.0
614327,966.0
614328,945.0
614329,950.0
614330,936.0
614331,978.0
614332,1046.0
614333,1071.0
614419,1247.0
614420,963.0
614421,580.0
614422,579.0
614423,684.0
614424,896.0
614425,964.0
614426,552.0
614427,174.0
614428,96.0
614429,62.0
614430,110.0
614431,608.0
614432,1054.0
614433,1054.0
614434,1037.0
614435,1020.0
614436,1020.0
614437,1025.0
614438,1021.0
614439,1048.0
614440,1078.0
614441,1069.0
614442,1100.0
614443,1099.0
614445,904.0
614446,1006.0
614449,1023.0
614450,1016.0
614451,1033.0
614452,1031.0
614453,1016.0
614454,998.0
614455,989.0
614456,1005.0
614457,983.0
614458,963.0
614459,952.0
614460,991.0
614461,1061.0
614462,999.0
614546,1164.0
614547,1253.0
614548,1011.0
614549,888.0
614550,903.0
614551,1018.0
614552,1078.0
614553,1090.0
614554,1097.0
614555,1085.0
614556,1067.0
614557,1052.0
614558,1048.0
614559,1044.0
614560,1045.0
614561,1048.0
614562,1053.0
614563,1043.0
614564,1047.0
614565,1054.0
614566,1048.0
614567,1062.0
614568,1070.0
614569,1055.0
614570,1057.0
614571,862.0
614572,825.0
614573,1066.0
614574,934.0
614577,928.0
614578,981.0
614579,1005.0
614580,1009.0
614581,996.0
614582,1001.0
614583,1009.0
614584,1001.0
614585,1021.0
614586,1018.0
614587,973.0
614588,960.0
614589,1045.0
614590,1041.0
614674,1076.0
614675,1096.0
614676,667.0
614677,325.0
614678,894.0
614679,1091.0
614680,1116.0
614681,1128.0
614682,1092.0
614683,1073.0
614684,1055.0
614685,1055.0
614686,1061.0
614687,1070.0
614688,1062.0
614689,1035.0
614690,1048.0
614691,1046.0
614692,1044.0
614693,1053.0
614694,1065.0
614695,1061.0
614696,1052.0
614697,1066.0
614698,1050.0
614699,917.0
614700,821.0
614701,993.0
614702,779.0
614705,852.0
614706,936.0
614707,996.0
614708,985.0
614709,980.0
614710,998.0
614711,1001.0
614712,1006.0
614713,1020.0
614714,1017.0
614715,1010.0
614716,1011.0
614717,1042.0
614718,1057.0
614803,933.0
614804,1019.0
614805,1014.0
614806,994.0
614807,1009.0
614808,1064.0
614809,1103.0
614810,875.0
614811,396.0
614812,232.0
614813,313.0
614814,252.0
614815,690.0
614816,1071.0
614817,1071.0
614818,1033.0
614819,1019.0
614820,1037.0
614821,1033.0
614822,1048.0
614823,1056.0
614824,1060.0
614825,1088.0
614826,1105.0
614827,1068.0
614828,993.0
614829,1015.0
614830,700.0
614833,831.0
614834,922.0
614835,994.0
614836,1002.0
614837,1006.0
614838,1007.0
614839,1020.0
614840,1023.0
614841,1017.0
614842,1010.0
614843,1016.0
614844,991.0
614845,1038.0
614846,1048.0
614934,835.0
614935,1023.0
614936,1040.0
614937,1026.0
614938,1035.0
614939,1033.0
614940,926.0
614941,234.0
614942,56.0
614943,66.0
614945,884.0
614946,1024.0
614947,1078.0
614948,1071.0
614949,1056.0
614950,1030.0
614951,1042.0
614952,1042.0
614953,1054.0
614954,976.0
614956,897.0
614957,1058.0
614958,848.0
614961,798.0
614962,901.0
614963,1003.0
614964,993.0
614965,987.0
614966,982.0
614967,999.0
614968,993.0
614969,970.0
614970,978.0
614971,977.0
614972,986.0
614973,1060.0
614974,1005.0
615067,1013.0
615068,1022.0
615069,1000.0
615070,787.0
615071,413.0
615077,1067.0
615078,1053.0
615079,1040.0
615080,1053.0
615081,1041.0
615082,979.0
615085,1054.0
615086,891.0
615091,1015.0
615092,1028.0
615093,1007.0
615094,992.0
615095,997.0
615096,988.0
615097,988.0
615098,951.0
615099,980.0
615100,1033.0
615101,1070.0
615198,1048.0
615208,939.0
615221,1060.0
615222,1036.0
615223,1000.0
615224,956.0
615225,972.0
615226,991.0
615227,1039.0
615228,1060.0
615229,1012.0
615351,1063.0
615352,1070.0
615353,1067.0
615354,1063.0
615355,1053.0
615481,828.0
627711,960.0
627837,984.0
627838,987.0
627839,899.0
627964,1000.0
627965,898.0
627966,903.0
627967,896.0
628091,955.0
628092,896.0
628093,888.0
628094,898.0
628095,893.0
628218,945.0
628219,916.0
628220,888.0
628221,874.0
628222,873.0
628223,863.0
628345,944.0
628346,937.0
628347,883.0
628348,893.0
628349,878.0
628350,875.0
628351,866.0
628473,1001.0
628474,914.0
628475,901.0
628476,890.0
628477,865.0
628478,887.0
628479,888.0
628600,890.0
628601,973.0
628602,878.0
628603,887.0
628604,899.0
628605,901.0
628606,891.0
628607,887.0
628728,942.0
628729,906.0
628730,871.0
628731,891.0
628732,880.0
628733,869.0
628734,888.0
628735,886.0
628856,968.0
628857,937.0
628858,876.0
628859,880.0
628860,848.0
628861,872.0
628862,865.0
628863,866.0
628984,955.0
628985,950.0
628986,883.0
628987,898.0
628988,890.0
628989,901.0
628990,894.0
628991,867.0
629112,879.0
629113,965.0
629114,890.0
629115,851.0
