,data
483328,4.283
483329,4.979
483330,5.564
483331,6.268
483456,2.904
483457,3.459
483458,4.019
483459,4.635
483584,2.401
483585,2.754
483586,3.026
483587,3.51
499584,5.884
499585,6.555
499586,6.942
499587,7.219
499712,5.196
499713,5.793
499714,6.231
499715,6.882
499716,7.438
499717,7.728
499718,8.113
499840,3.504
499841,4.035
499842,4.656
499843,5.313
499844,6.078
499845,6.713
499846,7.73
499968,2.664
499969,2.923
499970,3.34
499971,3.93
499972,4.686
499973,5.696
499974,7.187
500096,2.428
500097,2.613
500098,2.885
515842,6.36
515843,6.562
515968,6.263
515969,6.758
515970,7.125
515971,7.433
515972,7.756
515973,8.098
515974,8.22
516096,5.73
516097,6.476
516098,6.889
516099,7.36
516100,7.783
516101,8.16
516102,8.36
516103,8.924
516141,15.055
516142,14.912
516143,14.806
516144,14.888
516145,15.025
516146,14.729
516147,14.639
516148,14.542
516224,4.223
516225,4.757
516226,5.352
516227,5.915
516228,6.646
516229,7.49
516230,8.259
516231,9.521
516232,11.203
516267,14.9
516269,14.954
516270,14.855
516271,14.884
516272,14.789
516273,14.683
516274,14.544
516275,14.468
516277,14.121
516352,2.918
516353,3.23
516354,3.672
516355,4.366
516356,5.45
516357,6.711
516358,8.534
516359,10.73
516360,13.339
516397,14.952
516398,14.904
516399,15.012
516400,14.85
516401,14.692
516402,14.483
516403,14.514
516480,2.447
516481,2.678
516482,3.161
516483,3.792
516484,5.076
516485,6.991
516486,9.446
516525,14.994
516527,14.903
516528,14.854
516529,14.623
532146,17.324
532224,5.751
532225,6.201
532226,6.529
532227,6.809
532228,6.961
532229,7.218
532266,16.064
532267,16.187
532268,16.276
532269,16.352
532270,16.396
532271,16.385
532272,16.495
532273,16.747
532274,16.987
532275,17.435
532276,18.363
532277,19.301
532278,20.2
532352,6.375
532353,6.921
532354,7.366
532355,7.758
532356,7.963
532357,8.191
532358,8.372
532359,8.636
532360,9.01
532366,19.109
532367,20.008
532368,20.693
532369,21.607
532370,22.671
532371,23.634
532372,24.317
532373,24.762
532374,24.954
532375,24.979
532376,25.314
532380,24.148
532381,23.959
532382,23.477
532391,17.397
532392,16.949
532393,16.657
532394,16.53
532395,16.51
532396,16.617
532397,16.673
532398,16.871
532399,16.772
532400,16.749
532401,16.998
532402,17.008
532403,17.458
532404,18.116
532405,19.08
532406,19.856
532407,20.471
532408,20.973
532480,6.313
532481,6.978
532482,7.393
532483,7.848
532484,8.207
532485,8.425
532486,8.814
532487,9.318
532488,10.029
532489,11.174
532493,20.179
532494,21.434
532495,22.143
532496,22.753
532497,23.351
532498,24.328
532499,24.974
532500,25.297
532501,25.488
532502,25.302
532503,25.565
532504,25.301
532505,25.413
532506,25.07
532507,24.657
532508,24.54
532509,24.105
532510,23.751
532511,23.026
532518,17.921
532519,17.353
532520,17.226
532521,16.877
532522,16.731
532523,16.668
532524,16.737
532525,16.862
532526,16.877
532527,17.158
532528,16.876
532529,16.945
532530,16.958
532531,16.772
532532,17.207
532533,17.369
532534,17.769
532535,17.994
532536,18.297
532608,4.933
532609,5.478
532610,5.949
532611,6.589
532612,7.193
532613,8.142
532614,9.429
532615,10.873
532616,12.888
532617,15.221
532618,17.687
532620,22.374
532621,23.709
532622,24.223
532623,24.34
532624,24.393
532625,24.774
532626,24.808
532627,25.257
532628,25.331
532629,25.393
