,data
450846,988.0
450847,1003.0
466971,1004.0
466972,982.0
467098,980.0
467099,963.0
467100,1002.0
467101,544.0
467102,550.0
467103,1007.0
467226,969.0
467227,980.0
467228,995.0
467229,1005.0
467230,1020.0
467231,1022.0
467355,966.0
467356,1000.0
467357,975.0
467358,827.0
467359,988.0
467486,1016.0
483227,989.0
483229,991.0
483354,984.0
483355,907.0
483356,266.0
483357,64.0
483358,257.0
483481,968.0
483482,975.0
483483,968.0
483484,244.0
483485,17.0
483486,58.0
483487,410.0
483488,967.0
483609,986.0
483610,990.0
483611,1006.0
483612,902.0
483613,640.0
483614,938.0
483615,1006.0
483616,972.0
483738,996.0
483739,1014.0
483740,661.0
483741,744.0
483742,938.0
483743,875.0
483867,974.0
483870,1022.0
483871,1003.0
499485,1003.0
499610,968.0
499611,987.0
499612,969.0
499613,956.0
499614,591.0
499737,977.0
499738,968.0
499739,723.0
499740,57.0
499741,27.0
499742,28.0
499864,964.0
499865,851.0
499866,1014.0
499867,951.0
499868,397.0
499869,134.0
499870,39.0
499871,319.0
499872,858.0
499992,970.0
499993,886.0
499994,965.0
499995,1038.0
499996,1021.0
499997,1016.0
499998,995.0
499999,1007.0
500000,974.0
500001,929.0
500121,1001.0
500122,991.0
500123,873.0
500124,153.0
500125,240.0
500126,652.0
500127,995.0
500128,958.0
500250,972.0
500251,965.0
500253,963.0
500254,996.0
500255,867.0
500382,1000.0
515741,980.0
515742,1004.0
515867,795.0
515868,993.0
515869,970.0
515870,815.0
515994,989.0
515995,970.0
515996,979.0
515997,813.0
515998,111.0
516120,980.0
516121,980.0
516122,964.0
516123,834.0
516124,110.0
516125,64.0
516126,38.0
516128,836.0
516129,794.0
516246,991.0
516247,834.0
516248,671.0
516249,858.0
516250,1029.0
516251,1037.0
516252,1033.0
516253,1026.0
516254,968.0
516255,883.0
516256,993.0
516257,983.0
516374,1040.0
516375,916.0
516376,891.0
516377,973.0
516378,1006.0
516379,966.0
516380,931.0
516381,988.0
516382,1017.0
516383,1026.0
516384,1001.0
516385,983.0
516502,1009.0
516503,939.0
516504,896.0
516505,936.0
516506,969.0
516507,958.0
516508,290.0
516509,29.0
516510,44.0
516511,245.0
516512,946.0
516513,1006.0
516634,930.0
516635,951.0
516636,957.0
516637,938.0
516638,775.0
516639,143.0
516640,331.0
516766,963.0
516767,1000.0
531850,1011.0
531851,989.0
531852,990.0
531853,1011.0
531854,998.0
531977,994.0
531978,950.0
531979,940.0
531980,985.0
531981,993.0
531982,999.0
531983,956.0
531998,960.0
532105,971.0
532106,947.0
532107,972.0
532108,1000.0
532109,1002.0
532110,992.0
532111,959.0
532124,845.0
532125,983.0
532126,967.0
532127,1002.0
532233,985.0
532234,945.0
532235,1045.0
532236,1077.0
532237,1009.0
532238,987.0
532239,990.0
532250,897.0
532251,1007.0
532252,977.0
532253,965.0
532254,918.0
532255,293.0
532361,1011.0
532362,983.0
532363,1080.0
532364,1309.0
532365,1256.0
532366,1015.0
532367,993.0
532368,868.0
532376,983.0
532377,979.0
532378,984.0
532379,972.0
532380,999.0
532381,957.0
532382,306.0
532383,8.0
532384,275.0
532385,947.0
532392,997.0
532489,1003.0
532491,999.0
532492,1146.0
532493,1302.0
532494,1133.0
532495,994.0
532496,988.0
532497,994.0
532502,1099.0
532503,1215.0
532504,1030.0
532505,933.0
532506,948.0
532507,964.0
532508,550.0
532509,422.0
532510,547.0
532511,444.0
532512,933.0
532513,1010.0
532514,998.0
532515,996.0
532516,1003.0
532520,997.0
532619,1012.0
532620,1051.0
532621,1091.0
532622,1052.0
532623,979.0
532624,950.0
532625,988.0
532626,986.0
532627,961.0
532628,1356.0
532629,1769.0
532630,841.0
532631,683.0
532632,944.0
532633,1027.0
532634,1027.0
532635,1048.0
532636,1040.0
532637,1037.0
532638,1050.0
532639,1026.0
532640,1000.0
532641,991.0
532642,982.0
532643,989.0
532644,957.0
532645,698.0
532646,486.0
532647,528.0
532648,997.0
532748,1001.0
532749,1044.0
532750,1051.0
532751,1010.0
532752,953.0
532753,885.0
532754,867.0
532755,1021.0
532756,1487.0
532757,1110.0
532758,1062.0
532759,1086.0
532760,1062.0
532761,1047.0
532762,953.0
532763,761.0
532764,839.0
532765,992.0
532766,1024.0
532767,993.0
532768,992.0
532769,973.0
532770,989.0
532771,1013.0
532772,1028.0
532773,1016.0
532774,985.0
532776,997.0
532876,1006.0
532879,971.0
532880,1008.0
532881,1003.0
532883,991.0
532884,1205.0
532885,1583.0
532886,1279.0
532887,947.0
532888,772.0
532889,654.0
532890,797.0
532891,1005.0
532892,728.0
532893,149.0
532894,61.0
532895,45.0
532896,610.0
532897,987.0
532898,993.0
532899,1020.0
533004,1028.0
533008,934.0
533016,1004.0
533017,959.0
533018,979.0
533019,962.0
533020,924.0
533021,967.0
533022,808.0
533023,122.0
533024,157.0
533025,838.0
533026,996.0
533147,966.0
533149,983.0
533150,963.0
533151,957.0
533152,803.0
533153,460.0
547978,1000.0
547979,1013.0
547980,985.0
547981,970.0
547982,998.0
547983,764.0
548104,973.0
548105,964.0
548106,975.0
548107,1011.0
548108,1002.0
548109,1001.0
548110,979.0
548111,1000.0
548112,822.0
548231,1010.0
548232,958.0
548233,923.0
548234,963.0
548235,1024.0
548236,1043.0
548237,1032.0
548238,1007.0
548239,968.0
548240,977.0
548358,1020.0
548359,974.0
548360,924.0
548361,994.0
548362,1552.0
548363,2064.0
548364,1803.0
548365,1245.0
548366,1035.0
548367,994.0
548368,980.0
548369,699.0
548381,430.0
548382,944.0
548383,987.0
548384,951.0
548392,997.0
548485,1011.0
548486,1011.0
548487,972.0
548488,959.0
548489,1137.0
548490,2061.0
548491,2308.0
548492,2279.0
548493,1976.0
548494,1173.0
548495,1003.0
548496,993.0
548497,817.0
548507,564.0
548508,900.0
548509,983.0
548510,958.0
548511,1006.0
548512,986.0
548513,907.0
548519,735.0
548520,997.0
548613,1018.0
548614,998.0
548615,960.0
548616,962.0
548617,1182.0
548618,2042.0
548619,2183.0
