,data
515759,14.0
515760,47.0
515886,6.0
515887,23.0
515902,1.0
516027,2.0
516029,1.0
516031,1.0
516142,11.0
516155,1.0
516160,8.0
516270,29.0
516271,87.0
516272,213.0
516285,1.0
516287,1.0
516400,35.0
516415,5.0
516416,2.0
516544,1.0
531885,12.0
531886,26.0
531887,96.0
531888,139.0
532034,4.0
532141,34.0
532142,51.0
532144,36.0
532157,3.0
532270,11.0
532271,32.0
532274,76.0
532275,52.0
532284,1.0
532285,5.0
532291,4.0
532414,1.0
532415,7.0
532525,22.0
532526,9.0
532527,50.0
532528,76.0
532547,3.0
532653,3.0
532654,7.0
532655,17.0
532656,5.0
532671,3.0
532672,3.0
532673,4.0
532781,13.0
532782,43.0
532783,50.0
532792,1.0
532802,2.0
532930,7.0
547901,1.0
547905,1.0
548014,49.0
548015,60.0
548029,1.0
548030,3.0
548140,10.0
548141,20.0
548142,33.0
548144,86.0
548145,1.0
548147,25.0
548151,13.0
548159,2.0
548160,2.0
548269,18.0
548270,39.0
548271,5.0
548272,66.0
548275,32.0
548288,1.0
548398,45.0
548399,30.0
548400,64.0
548525,65.0
548526,122.0
548527,6.0
548528,49.0
548531,8.0
548546,2.0
548653,3.0
548654,21.0
548655,11.0
548656,10.0
548658,88.0
548659,19.0
548783,8.0
548804,5.0
548909,20.0
548910,30.0
548911,95.0
548912,260.0
548924,1.0
548932,5.0
549037,44.0
549038,121.0
549039,49.0
549300,43.0
549308,2.0
549428,44.0
549440,1.0
549550,29.0
549677,8.0
549678,17.0
549679,1.0
549680,125.0
549688,1.0
549691,2.0
549692,2.0
549816,4.0
549817,3.0
549819,1.0
549820,4.0
549821,3.0
564153,1.0
564270,61.0
564271,46.0
564275,13.0
564281,4.0
564396,6.0
564397,20.0
564398,65.0
564399,129.0
564403,21.0
564404,86.0
564413,2.0
564414,1.0
564526,44.0
564527,80.0
564530,3.0
564531,29.0
564532,13.0
564542,6.0
564653,13.0
564654,53.0
564656,84.0
564659,53.0
564781,12.0
564783,9.0
564784,259.0
564909,73.0
564910,110.0
564915,20.0
564920,2.0
564923,4.0
564924,2.0
564928,1.0
564929,4.0
564931,2.0
564932,3.0
565037,29.0
565038,75.0
565039,56.0
565040,34.0
565042,15.0
565043,5.0
565057,1.0
565058,2.0
565059,9.0
565060,10.0
565061,6.0
565167,83.0
565168,142.0
565181,3.0
565182,5.0
565183,5.0
565189,5.0
565279,320.0
565293,39.0
565294,54.0
565295,104.0
565296,220.0
565306,10.0
565308,8.0
565311,16.0
565312,6.0
565316,5.0
565317,9.0
565405,636.0
565406,925.0
565407,888.0
565408,523.0
565422,3.0
565444,8.0
565445,3.0
565533,786.0
565534,907.0
565535,900.0
565536,505.0
565556,23.0
565564,1.0
565565,3.0
565566,3.0
565570,3.0
565572,6.0
565573,1.0
565684,1.0
565695,10.0
565696,13.0
565805,2.0
565806,46.0
565812,17.0
565822,1.0
565824,2.0
565825,1.0
565936,81.0
565938,6.0
565944,2.0
565952,2.0
566064,70.0
566188,8.0
566192,141.0
566193,57.0
566195,9.0
566196,47.0
566200,9.0
566201,3.0
566209,1.0
566210,5.0
566317,3.0
566320,108.0
566321,30.0
566322,7.0
566328,3.0
566333,2.0
566334,3.0
566338,3.0
566459,9.0
566461,2.0
580524,4.0
580528,47.0
580529,66.0
580530,15.0
580534,4.0
580535,24.0
580536,6.0
580542,2.0
580652,3.0
580654,17.0
580657,30.0
580658,26.0
580659,20.0
580660,10.0
580661,11.0
580662,20.0
580663,13.0
580664,9.0
580665,1.0
580669,1.0
580780,2.0
580781,6.0
580782,48.0
580787,5.0
580788,61.0
580789,9.0
580790,5.0
580791,36.0
580792,6.0
580793,1.0
580797,2.0
580908,4.0
580909,27.0
580910,99.0
580911,232.0
580915,77.0
580916,66.0
580919,7.0
581036,6.0
581038,55.0
581039,63.0
581043,59.0
581047,10.0
581049,2.0
581050,5.0
581052,14.0
581053,14.0
581054,12.0
581057,11.0
581058,7.0
581164,1.0
581165,23.0
581166,118.0
581167,100.0
581168,328.0
581169,4.0
581177,6.0
581179,5.0
581180,10.0
581181,10.0
581182,5.0
581183,29.0
581184,18.0
581185,4.0
581186,4.0
581188,2.0
581292,6.0
581293,73.0
581294,194.0
581295,88.0
581296,180.0
581298,2.0
581299,49.0
581307,7.0
581312,16.0
581315,9.0
581316,12.0
581317,4.0
581421,91.0
581422,200.0
581423,66.0
581424,91.0
581434,11.0
581435,25.0
581436,40.0
581437,98.0
581438,56.0
581439,21.0
581440,1.0
581441,11.0
581442,3.0
581444,2.0
