,data
499328,1.37
499329,1.679
499330,2.017
499331,2.426
499456,1.263
499457,1.477
499458,1.8
499584,1.311
515584,2.425
515586,3.758
515587,4.49
515712,1.854
515713,2.162
515714,2.627
515715,3.118
515716,3.598
515840,1.416
515841,1.705
515842,2.025
515843,2.558
515844,3.015
515968,1.407
515969,1.631
515970,1.91
515971,2.268
531840,5.162
531843,8.554
531968,3.657
531969,4.583
531970,5.515
531971,6.665
532096,2.613
532097,3.297
532098,3.985
532099,4.777
532100,5.662
532101,6.347
532224,1.948
532225,2.402
532226,2.925
532227,3.585
532228,4.266
532229,4.853
532230,5.139
532352,1.6
532353,1.913
532354,2.357
532355,2.896
532356,3.498
532480,1.489
532482,2.105
532483,2.575
548224,7.953
548225,8.575
548226,9.39
548227,10.259
548352,5.934
548353,6.779
548354,7.732
548355,8.808
548356,10.053
548357,10.891
548480,4.214
548481,4.943
548482,5.92
548483,7.106
548484,8.424
548485,9.491
548486,9.978
548608,2.968
548609,3.647
548610,4.446
548611,5.467
548612,6.596
548613,7.566
548614,8.146
548615,8.452
548736,2.246
548737,2.774
548738,3.383
548739,4.247
548740,5.04
548741,5.719
548742,6.281
548864,1.937
548865,2.35
548866,2.893
548867,3.505
548868,4.12
548992,2.123
548994,2.832
548995,3.262
564480,10.392
564482,11.021
564483,11.474
564608,10.216
564609,10.519
564610,10.875
564611,11.311
564612,11.825
564613,12.251
564614,12.388
564653,7.07
564654,6.872
564655,6.892
564656,7.154
564657,7.587
564658,8.098
564659,8.733
564660,9.134
564661,9.673
564736,9.028
564737,9.285
564738,9.9
564739,10.52
564740,11.304
564741,12.012
564742,12.381
564743,12.631
564778,5.065
564779,5.426
564780,5.778
564781,5.989
564782,6.13
564783,6.023
564784,6.212
564785,6.54
564786,6.91
564787,7.511
564788,8.162
564789,8.79
564790,9.371
564864,6.927
564865,7.71
564866,8.33
564867,9.378
564868,10.679
564869,11.566
564870,12.301
564871,12.628
564876,11.447
564877,10.554
564878,9.455
564879,8.636
564891,12.026
564892,10.986
564893,10.315
564905,4.117
564906,4.203
564907,4.411
564908,4.748
564909,5.058
564910,5.494
564911,5.748
564912,5.889
564913,6.041
564914,6.383
564915,6.832
564916,7.554
564917,8.258
564918,8.886
564919,9.375
564992,5.104
564993,5.898
564994,6.719
564995,8.032
564996,9.453
564997,10.623
564998,11.484
564999,11.895
565003,11.507
565004,10.825
565005,9.989
565006,9.102
565007,8.402
565008,7.958
565018,13.056
565019,12.046
565020,10.906
565034,4.091
565035,4.265
565036,4.572
565037,4.986
565038,5.399
565039,5.689
565040,5.803
565041,5.985
565042,6.335
565043,6.843
565044,7.575
565045,8.307
565046,9.067
565120,3.791
565121,4.495
565122,5.332
565123,6.51
565124,7.841
565125,8.885
565126,9.854
565127,10.365
565131,9.934
565132,9.344
565133,8.793
565134,8.269
565135,7.915
565147,11.94
565148,10.851
565162,3.987
565163,4.206
565164,4.491
565165,5.008
565166,5.386
565167,5.707
565168,5.977
565169,6.196
565170,6.509
565171,7.115
565172,7.826
565173,8.592
565174,9.257
565248,3.364
565249,4.073
565250,4.774
565251,5.694
565252,6.555
565253,7.427
565254,8.024
565255,8.284
565275,11.242
565291,4.226
